Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_lateralorbitofrontal,Gram Negative Bacterial Infections,18908,18286,622,-0.0467620528910895,-0.120306294921667,0.0267821891394878,"-0.05 (-0.12, 0.03)",0.21267161063097,0.473605903095459,51-60,0.417,Cortical,Volume of lateralorbitofrontal (left hemisphere),Gram Negative,
L_lingual,Gram Negative Bacterial Infections,18908,18286,622,-0.00827665957378842,-0.0869417820051647,0.0703884628575879,"-0.01 (-0.09, 0.07)",0.836614609382277,0.898002228841756,51-60,0.985,Cortical,Volume of lingual (left hemisphere),Gram Negative,
L_medialorbitofrontal,Gram Negative Bacterial Infections,18908,18286,622,-0.0521600802295609,-0.126908929834751,0.0225887693756287,"-0.05 (-0.13, 0.02)",0.171403721428549,0.436300381818124,51-60,0.625,Cortical,Volume of medialorbitofrontal (left hemisphere),Gram Negative,
L_middletemporal,Gram Negative Bacterial Infections,18908,18286,622,-0.0728074283635103,-0.145848307071099,0.000233450344078373,"-0.07 (-0.15, 0.00)",0.0507366755775897,0.241238532934955,51-60,0.293,Cortical,Volume of middletemporal (left hemisphere),Gram Negative,
L_paracentral,Gram Negative Bacterial Infections,18908,18286,622,-0.058119610966605,-0.135310487655403,0.0190712657221931,"-0.06 (-0.14, 0.02)",0.140009569514783,0.394443688457025,51-60,0.562,Cortical,Volume of paracentral (left hemisphere),Gram Negative,
L_parahippocampal,Gram Negative Bacterial Infections,18908,18286,622,0.00358339563679511,-0.0753784143533747,0.0825452056269649,"0.00 (-0.08, 0.08)",0.929121347189809,0.955667671395232,51-60,0.822,Cortical,Volume of parahippocampal (left hemisphere),Gram Negative,
L_parsopercularis,Gram Negative Bacterial Infections,18908,18286,622,-0.0173942909206809,-0.0979880871800336,0.0631995053386719,"-0.02 (-0.10, 0.06)",0.672271175132708,0.854413443870635,51-60,0.524,Cortical,Volume of parsopercularis (left hemisphere),Gram Negative,
L_parsorbitalis,Gram Negative Bacterial Infections,18908,18286,622,-0.060294301920493,-0.136353519779317,0.0157649159383315,"-0.06 (-0.14, 0.02)",0.120244428266922,0.356489363803109,51-60,0.12,Cortical,Volume of parsorbitalis (left hemisphere),Gram Negative,
L_parstriangularis,Gram Negative Bacterial Infections,18908,18286,622,-0.0125604216778146,-0.0921783545785433,0.0670575112229141,"-0.01 (-0.09, 0.07)",0.757156689205408,0.882482386455794,51-60,0.184,Cortical,Volume of parstriangularis (left hemisphere),Gram Negative,
L_pericalcarine,Gram Negative Bacterial Infections,18908,18286,622,0.083288836212557,0.00533844458608769,0.161239227839026,"0.08 (0.01, 0.16)",0.0362441857485751,0.209094353223975,51-60,0.121,Cortical,Volume of pericalcarine (left hemisphere),Gram Negative,*
L_postcentral,Gram Negative Bacterial Infections,18908,18286,622,-0.053531705094521,-0.130119585588845,0.0230561753998034,"-0.05 (-0.13, 0.02)",0.170696903574725,0.436300381818124,51-60,0.797,Cortical,Volume of postcentral (left hemisphere),Gram Negative,
L_posteriorcingulate,Gram Negative Bacterial Infections,18908,18286,622,-0.0183138491128371,-0.0934428543182355,0.0568151560925612,"-0.02 (-0.09, 0.06)",0.632796705187339,0.830545675558383,51-60,0.736,Cortical,Volume of posteriorcingulate (left hemisphere),Gram Negative,
